SITE_ID,COUNTRY,DOI,DOI_CITATION,DOI_DATAPRODUCT,DOI_CONTRIBUTOR_DATAPRODUCT,DOI_CONTRIBUTOR_DATE_END,DOI_CONTRIBUTOR_DATE_START,DOI_CONTRIBUTOR_EMAIL,DOI_CONTRIBUTOR_INSTITUTION,DOI_CONTRIBUTOR_NAME,DOI_CONTRIBUTOR_ORCID,DOI_CONTRIBUTOR_ORDINAL,DOI_CONTRIBUTOR_ROLE,DOI_ORGANIZATION,DOI_ORGANIZATION_ROLE,FLUX_MEASUREMENTS_COMMENT,FLUX_MEASUREMENTS_DATE_END,FLUX_MEASUREMENTS_DATE_START,FLUX_MEASUREMENTS_METHOD,FLUX_MEASUREMENTS_OPERATIONS,FLUX_MEASUREMENTS_VARIABLE,SITE_NAME,IGBP,IGBP_COMMENT,IGBP_DATE_START,LAND_OWNER,LAND_OWNERSHIP,LOCATION_COMMENT,LOCATION_DATE_START,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,NETWORK,REFERENCE_DOI,REFERENCE_PAPER,REFERENCE_USAGE,RESEARCH_TOPIC,SHIPPING_ADDRESS,ASPECT,SITE_SNOW_COVER_DAYS,SURFACE_HOMOGENEITY,TERRAIN,WIND_DIRECTION,SITE_DESC,SITE_FUNDING,TEAM_MEMBER_ADDRESS,TEAM_MEMBER_EMAIL,TEAM_MEMBER_INSTITUTION,TEAM_MEMBER_NAME,TEAM_MEMBER_ROLE,TOWER_POWER,TOWER_TYPE,URL_AMERIFLUX,UTC_OFFSET,UTC_OFFSET_COMMENT,UTC_OFFSET_DATE_START,CLIMATE_KOEPPEN,MAP,MAT,ACKNOWLEDGEMENT,ACKNOWLEDGEMENT_COMMENT,DOM_DIST_MGMT,STATE,URL,BIOMASS_C,BIOMASS_CN_RATIO,BIOMASS_COMMENT,BIOMASS_DATE,BIOMASS_N,BIOMASS_N_SPATIAL_VARIABILITY,BIOMASS_ORGAN,BIOMASS_PHEN,BIOMASS_SPP,HEIGHTC,HEIGHTC_APPROACH,HEIGHTC_COMMENT,HEIGHTC_DATE,HEIGHTC_DATE_UNC,HEIGHTC_SPATIAL_VARIABILITY,HEIGHTC_STATISTIC,HEIGHTC_STATISTIC_NUMBER,HEIGHTC_STATISTIC_TYPE,HEIGHTC_VEGTYPE,LAI,LAI_APPROACH,LAI_CANOPY_TYPE,LAI_CLUMP,LAI_COMMENT,LAI_DATE,LAI_DATE_UNC,LAI_METHOD,LAI_O_DEC,LAI_O_DEC_SPATIAL_REP_NUMBER,LAI_O_DEC_SPATIAL_VARIABILITY,LAI_O_EVG,LAI_O_EVG_SPATIAL_VARIABILITY,LAI_STATISTIC,LAI_STATISTIC_NUMBER,LAI_STATISTIC_TYPE,LAI_TOT,LAI_TOT_SPATIAL_REP_NUMBER,LAI_TOT_SPATIAL_VARIABILITY,LAI_TYPE,LAI_U,LAI_U_SPATIAL_REP_NUMBER,LAI_U_SPATIAL_VARIABILITY,LAI_VEGTYPE,NEP,NEP_APPROACH,NEP_COMMENT,NEP_DATE_END,NEP_DATE_START,NEP_SPATIAL_VARIABILITY,SOIL_CHEM_BD,SOIL_CHEM_BD_SPATIAL_REP_NUMBER,SOIL_CHEM_BD_SPATIAL_VARIABILITY,SOIL_CHEM_C_ORG,SOIL_CHEM_C_ORG_SPATIAL_VARIABILITY,SOIL_CHEM_COMMENT,SOIL_CHEM_DATE,SOIL_CHEM_DATE_UNC,SOIL_CHEM_HORIZON,SOIL_CHEM_N_TOT,SOIL_CHEM_N_TOT_SPATIAL_VARIABILITY,SOIL_CHEM_PH_H2O,SOIL_CHEM_PH_SALT,SOIL_CHEM_PH_SALT_SPATIAL_VARIABILITY,SOIL_CHEM_PROFILE_MAX,SOIL_CHEM_PROFILE_MIN,SOIL_CHEM_PROFILE_ZERO_REF,SOIL_CLASSIFICATION,SOIL_CLASSIFICATION_COMMENT,SOIL_CLASSIFICATION_TAXONOMY,SOIL_DEPTH,SOIL_DEPTH_COMMENT,SOIL_DEPTH_DATE,SOIL_TEX_CLAY,SOIL_TEX_COMMENT,SOIL_TEX_DATE,SOIL_TEX_HORIZON,SOIL_TEX_PROFILE_MAX,SOIL_TEX_PROFILE_MIN,SOIL_TEX_ROCK,SOIL_TEX_ROCK_SPATIAL_VARIABILITY,SOIL_TEX_SAND,SOIL_TEX_SILT,SOIL_TEX_WATER_HOLD_CAP,SPP_APPROACH,SPP_COMMENT,SPP_DATE,SPP_DATE_UNC,SPP_O,SPP_O_PERC,AG_BIOMASS_APPROACH,AG_BIOMASS_COMMENT,AG_BIOMASS_DATE,AG_BIOMASS_DATE_UNC,AG_BIOMASS_OTHER,AG_BIOMASS_OTHER_ORGAN,AG_BIOMASS_OTHER_PHEN,AG_BIOMASS_OTHER_SPATIAL_REP_NUMBER,AG_BIOMASS_OTHER_SPATIAL_VARIABILITY,AG_BIOMASS_OTHER_UNIT
US-PHM,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,0,3,3,3,3,1,1,1,0,1,1,0,0,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-PiU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-PLM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,4,4,1,1,1,0,1,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Pnp,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,3,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,3,3,3,1,1,1,0,0,1,1,1,1,0,3,1,3,3,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Pon,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,3,3,3,1,0,0,0,0,1,0,1,1,1,2,1,2,2,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
US-Prr,1,1,1,1,3,0,0,3,3,3,0,0,3,2,2,0,0,3,3,3,3,1,1,1,0,1,1,0,1,1,1,1,1,24,24,24,1,1,1,1,1,1,1,1,1,3,5,5,5,5,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-PSH,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,3,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-PSL,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,3,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-PVA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RC1,1,1,1,1,2,0,0,2,2,2,0,0,2,2,2,0,2,2,2,2,2,1,1,1,1,0,0,0,1,1,1,1,1,8,8,8,0,0,0,0,1,1,1,0,1,0,4,4,4,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RC2,1,1,1,1,2,0,0,2,2,2,0,0,2,2,2,0,3,3,3,3,3,1,1,1,1,0,0,0,1,1,1,1,1,6,6,6,0,0,0,0,1,1,1,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RC3,1,1,1,1,2,0,0,2,2,2,0,0,2,2,2,0,2,2,2,2,2,1,1,1,1,1,1,0,1,0,1,1,1,6,6,6,0,0,0,0,0,1,0,1,1,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RC4,1,1,1,1,2,0,0,2,2,2,0,0,2,2,2,0,2,2,2,2,2,1,1,1,1,0,0,0,1,1,1,1,1,3,3,3,0,0,0,0,0,1,0,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RC5,1,1,1,1,2,0,0,2,2,2,0,0,2,2,2,0,2,2,2,2,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RFE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RFW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RGB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RGG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,1,0,1,1,0,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Rls,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,0,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,0,2,2,2,2,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Rms,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,0,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,2,6,6,6,1,1,1,1,1,1,1,1,1,0,2,2,2,2,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Ro1,1,1,1,1,3,0,0,3,3,3,0,0,3,3,3,0,3,3,3,3,3,1,2,2,1,1,1,1,1,2,2,2,2,11,11,11,1,1,1,1,1,1,1,1,1,1,4,3,4,4,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Ro2,1,1,1,1,2,0,0,2,2,2,0,0,2,3,3,0,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,0,5,3,5,5,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Ro3,1,1,1,1,2,0,0,2,2,2,0,0,2,3,3,1,3,3,3,3,3,1,1,1,1,1,1,0,1,1,1,1,1,3,3,3,1,1,1,1,0,1,0,1,1,0,4,3,4,4,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Ro4,1,1,1,1,2,0,0,2,2,2,0,0,2,3,3,0,0,3,3,3,3,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,1,1,1,1,0,1,0,1,1,0,4,3,4,4,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Ro5,1,1,1,1,2,0,0,2,2,2,0,0,2,3,3,0,0,4,4,4,4,1,1,0,1,1,1,0,1,1,1,1,2,0,0,0,1,1,1,1,1,1,0,1,1,0,4,3,4,4,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Ro6,1,1,1,1,2,0,0,2,2,2,0,0,2,3,3,0,0,4,4,4,4,1,1,0,1,1,1,0,1,1,1,1,2,0,0,0,1,1,1,1,1,1,0,1,1,0,4,3,4,4,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Rpf,1,1,1,1,3,0,0,3,3,3,1,3,3,3,3,0,0,3,3,3,3,1,1,1,0,1,1,0,0,1,1,1,1,5,9,9,1,1,1,0,1,1,0,1,1,0,3,3,3,3,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-RRC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,4,4,4,4,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Rwe,1,1,1,1,2,0,0,2,2,2,0,0,2,2,2,0,2,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,0,1,1,1,1,0,2,2,2,2,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Rwf,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Rws,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,0,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,2,5,5,5,1,1,1,1,1,1,1,1,1,0,2,2,2,2,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-Sag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,3,3,3,3,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-SB1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,0,1,1,0,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,0,1,2,2,2,2,1,1,1,1,1,0,1,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-SB2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,2,0,0,0,1,1,0,0,1,0,1,1,1,2,2,2,2,2,1,1,1,1,1,0,1,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
